t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
1,1_0_9,11,2,5.10544e-14,0.996858,223.842,-223.842
1,1_0_9,11,3,6.46382e-14,-1.64395,222.818,-222.818
1,1_0_9,12,1,2.47946e-15,2.78746,236.979,-236.979
1,1_0_9,12,2,3.27193e-14,0.745577,225.775,-225.775
1,1_0_9,12,3,9.30207e-14,1.32914,221.237,-221.237
1,1_0_9,13,1,4.47806e-15,2.86421,234.412,-234.412
1,1_0_9,13,2,5.21301e-15,0.826581,233.752,-233.752
1,1_0_9,13,3,1.51985e-14,1.39734,229.105,-229.105
1,1_0_9,14,1,1.30337e-13,2.94096,219.772,-219.772
1,1_0_9,14,2,2.3698e-14,0.907585,227.176,-227.176
1,1_0_9,14,3,9.74913e-13,1.46577,211.033,-211.033
1,1_0_9,15,1,3.52244e-13,3.01771,215.454,-215.454
1,1_0_9,15,2,1.52299e-13,0.98859,219.096,-219.096
1,1_0_9,15,3,5.48977e-13,1.53404,213.527,-213.527
1,1_0_9,16,1,7.83964e-13,2.78285,211.98,-211.98
1,1_0_9,16,2,2.64274e-13,0.737308,216.702,-216.702
1,1_0_9,16,3,3.08782e-12,1.36549,206.026,-206.026
1,1_0_9,17,1,9.80875e-13,2.8596,211.007,-211.007
1,1_0_9,17,2,1.73209e-13,0.818312,218.537,-218.537
1,1_0_9,17,3,4.82015e-13,1.43392,214.092,-214.092
1,1_0_9,18,1,2.98621e-13,2.93634,216.172,-216.172
1,1_0_9,18,2,5.83931e-13,0.899317,213.259,-213.259
1,1_0_9,18,3,4.74675e-12,1.5021,204.159,-204.159
2,3_0_24,0,1,3.06121e-12,2.79701,206.064,-206.064
2,3_0_24,0,2,9.9721e-13,0.883103,210.935,-210.935
2,3_0_24,0,3,6.59411e-13,-2.80336,212.731,-212.731
2,3_0_24,1,1,3.04752e-12,2.77859,206.083,-206.083
2,3_0_24,1,2,3.49849e-12,0.873925,205.484,-205.484
2,3_0_24,1,3,4.51282e-13,-2.82446,214.378,-214.378
2,3_0_24,2,1,4.3462e-13,2.76017,214.542,-214.542
2,3_0_24,2,2,1.70156e-13,0.864747,218.614,-218.614
2,3_0_24,2,3,2.24533e-13,-2.84556,217.41,-217.41
2,3_0_24,3,1,9.15224e-13,2.74174,211.307,-211.307
2,3_0_24,3,2,1.7338e-14,0.855569,228.533,-228.533
2,3_0_24,3,3,1.00262e-14,-2.86665,230.911,-230.911
2,3_0_24,4,1,1.52817e-13,2.86115,219.081,-219.081
2,3_0_24,4,2,1.64133e-12,0.944858,208.771,-208.771
2,3_0_24,4,3,5.47843e-13,-2.71877,213.536,-213.536
2,3_0_24,5,1,3.7957e-12,2.84273,205.13,-205.13
2,3_0_24,5,2,4.70096e-12,0.93568,204.201,-204.201
2,3_0_24,5,3,8.5943e-13,-2.73987,211.581,-211.581
