t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB)
1,1_0_9,6,3,2.33315e-12,2.24213,207.243,-207.243
1,1_0_9,7,1,5.03857e-12,1.17088,203.9,-203.9
1,1_0_9,7,2,1.20139e-13,-2.53994,220.126,-220.126
1,1_0_9,7,3,5.61621e-12,2.26338,203.428,-203.428
1,1_0_9,8,1,1.47931e-10,1.07489,189.222,-189.222
1,1_0_9,8,2,8.10369e-12,-2.60933,201.836,-201.836
1,1_0_9,8,3,4.1795e-13,2.1325,214.712,-214.712
1,1_0_9,9,1,9.11928e-09,1.09979,171.323,-171.323
1,1_0_9,9,2,2.07326e-09,-2.59975,177.756,-177.756
1,1_0_9,9,3,2.11506e-13,2.15376,217.67,-217.67
1,1_0_9,10,1,3.8033e-13,1.15017,215.121,-215.121
1,1_0_9,10,2,8.31667e-13,-2.59017,211.723,-211.723
1,1_0_9,10,3,8.18764e-13,2.17501,211.791,-211.791
1,1_0_9,11,1,3.73828e-16,2.03216,245.196,-245.196
1,1_0_9,11,2,8.11124e-15,0.561005,231.832,-231.832
1,1_0_9,11,3,7.6155e-14,2.19626,222.106,-222.106
1,1_0_9,12,1,8.43388e-14,1.09608,221.662,-221.662
1,1_0_9,12,2,3.01184e-15,-2.64998,236.134,-236.134
1,1_0_9,12,3,8.61194e-15,2.06538,231.572,-231.572
1,1_0_9,13,1,8.12694e-15,1.08269,231.824,-231.824
1,1_0_9,13,2,1.11713e-13,-2.6404,220.442,-220.442
1,1_0_9,13,3,2.66408e-14,2.08663,226.667,-226.667
1,1_0_9,14,1,1.24172e-12,1.08649,209.983,-209.983
1,1_0_9,14,2,4.89984e-14,-2.63082,224.021,-224.021
1,1_0_9,14,3,3.66476e-14,2.10788,225.282,-225.282
1,1_0_9,15,1,2.60336e-12,1.09925,206.767,-206.767
1,1_0_9,15,2,9.79423e-13,-2.62124,211.013,-211.013
1,1_0_9,15,3,6.1609e-13,2.12914,213.026,-213.026
1,1_0_9,16,1,8.09337e-12,0.996175,201.841,-201.841
1,1_0_9,16,2,4.72148e-12,-2.69063,204.182,-204.182
1,1_0_9,16,3,3.06441e-13,1.99826,216.059,-216.059
1,1_0_9,17,1,3.25389e-12,1.01056,205.799,-205.799
1,1_0_9,17,2,7.52207e-13,-2.68105,212.159,-212.159
1,1_0_9,17,3,7.19883e-13,2.01951,212.35,-212.35
1,1_0_9,18,1,1.07045e-11,1.02614,200.627,-200.627
1,1_0_9,18,2,1.32874e-11,-2.67147,199.688,-199.688
1,1_0_9,18,3,8.7749e-13,2.04076,211.49,-211.49
2,3_0_24,0,1,4.32696e-12,2.95416,204.561,-204.561
2,3_0_24,0,2,2.20527e-12,1.0572,207.488,-207.488
2,3_0_24,0,3,4.15233e-13,-2.56463,214.74,-214.74
2,3_0_24,1,1,8.19779e-12,2.97255,201.786,-201.786
2,3_0_24,1,2,8.65541e-12,1.06634,201.55,-201.55
2,3_0_24,1,3,1.05522e-12,-2.54357,210.689,-210.689
2,3_0_24,2,1,3.81751e-12,2.99095,205.105,-205.105
2,3_0_24,2,2,7.94304e-11,1.07549,191.923,-191.923
2,3_0_24,2,3,5.06401e-13,-2.52252,213.878,-213.878
2,3_0_24,3,1,1.50445e-13,3.00934,219.149,-219.149
2,3_0_24,3,2,5.97162e-13,1.08464,213.162,-213.162
2,3_0_24,3,3,1.75467e-13,-2.50146,218.481,-218.481
2,3_0_24,4,1,1.3637e-13,2.91212,219.576,-219.576
2,3_0_24,4,2,4.91116e-13,1.01816,214.011,-214.011
2,3_0_24,4,3,9.61825e-14,-2.63102,221.092,-221.092
2,3_0_24,5,1,1.13722e-12,2.93051,210.364,-210.364
2,3_0_24,5,2,2.0562e-12,1.02731,207.792,-207.792
2,3_0_24,5,3,6.03558e-13,-2.60997,213.116,-213.116
2,3_0_24,6,1,1.69963e-12,2.9489,208.619,-208.619
2,3_0_24,6,2,1.0527e-11,1.03645,200.7,-200.7
2,3_0_24,6,3,2.20577e-12,-2.58891,207.487,-207.487
2,3_0_24,7,1,2.98101e-12,2.96729,206.179,-206.179
