t,sat_name,beam_index,ue,received power (W),phase (radians),path loss (dB),path gain (dB),h_r,h_i
0,2_0_1,16,2,1.43998e-11,-0.672482,199.339,-199.339,1.29394e-06,1.03037e-06
0,2_0_1,16,3,8.25088e-12,-0.255653,201.758,-201.758,1.21137e-06,3.16619e-07
0,2_0_1,16,4,4.87214e-12,0.555307,204.046,-204.046,8.17565e-07,-5.07242e-07
0,2_0_1,16,5,1.82335e-11,2.61859,198.314,-198.314,-1.61247e-06,-9.29683e-07
0,2_0_1,16,6,3.99588e-12,2.57259,204.907,-204.907,-7.34043e-07,-4.69465e-07
0,2_0_1,17,1,5.95869e-13,-2.20324,213.171,-213.171,-1.98895e-07,2.71396e-07
0,2_0_1,17,2,1.12636e-11,-0.690441,200.406,-200.406,1.12785e-06,9.31689e-07
0,2_0_1,17,3,6.86879e-09,2.84682,172.554,-172.554,-3.45676e-05,-1.04954e-05
0,2_0_1,17,4,2.7609e-12,0.527175,206.512,-206.512,6.2594e-07,-3.64377e-07
0,2_0_1,17,5,6.95792e-12,2.61038,202.498,-202.498,-9.91339e-07,-5.82453e-07
0,2_0_1,17,6,8.81388e-13,2.56441,211.471,-211.471,-3.4293e-07,-2.233e-07
0,2_0_1,18,1,1.95907e-13,0.933582,218.002,-218.002,1.14786e-07,-1.55069e-07
0,2_0_1,18,2,1.67885e-12,-0.708397,208.673,-208.673,4.289e-07,3.67458e-07
0,2_0_1,18,3,8.03166e-11,2.80728,191.875,-191.875,-3.69015e-06,-1.28179e-06
0,2_0_1,18,4,6.76238e-14,0.499596,222.622,-222.622,9.94971e-08,-5.43033e-08
0,2_0_1,18,5,2.13847e-12,2.60221,207.622,-207.622,-5.46926e-07,-3.27383e-07
0,2_0_1,18,6,1.48956e-13,-0.585384,219.192,-219.192,1.4022e-07,9.29509e-08
0,1_0_9,0,1,9.92464e-13,-2.75266,210.956,-210.956,-4.01813e-07,1.64665e-07
0,1_0_9,0,2,1.74035e-13,0.14949,218.516,-218.516,1.79814e-07,-2.70824e-08
0,1_0_9,0,3,2.79401e-13,0.158328,216.46,-216.46,2.27523e-07,-3.63272e-08
0,1_0_9,0,4,2.01217e-12,0.99857,207.886,-207.886,3.3482e-07,-5.19816e-07
0,1_0_9,0,5,1.01346e-12,1.48285,210.865,-210.865,3.85423e-08,-4.37118e-07
0,1_0_9,0,6,8.16239e-13,2.20262,211.805,-211.805,-2.32589e-07,-3.17786e-07
0,1_0_9,1,1,1.52776e-12,-2.66876,209.082,-209.082,-4.79658e-07,2.45361e-07
0,1_0_9,1,2,1.17952e-12,0.228146,210.206,-210.206,4.61135e-07,-1.0707e-07
0,1_0_9,1,3,4.28376e-12,0.22043,204.605,-204.605,8.80343e-07,-1.97259e-07
